R,1544994095,1544997719,76,753
URFY,1544995660,1544998584,83,-26
ULCB,1544996188,1544999330,25,593
WZXB,1544994910,1544999794,45,-982
FC,1544995183,1544999997,32,-859
F,1544995997,1545000745,5,177
R,1545001047,1545001585,14,-520
WOGH,1544996480,1545002009,94,-412
KO,1544993778,1545002662,43,-726
HZJZ,1544997754,1545002983,90,-508
XWA,1544996599,1545003812,15,587
IQO,1545003599,1545004031,69,-767
ZZD,1545001987,1545004422,25,-919
MKYJ,1545003289,1545005114,1,-244
EKL,1545000571,1545006025,16,543
SZZ,1545005854,1545006340,18,603
YU,1545000820,1545006565,80,342
IWW,1544997654,1545006684,34,-603
AHMY,1544998497,1545007065,82,115
SUV,1545001016,1545007474,39,433
ZYQ,1545002438,1545007613,52,335
U,1545002273,1545007897,38,471
XBI,1544999453,1545008067,89,355
RFWW,1545004474,1545008883,57,-152
O,1545001227,1545009672,80,-644
E,1545002536,1545009726,60,850
F,1545003830,1545010395,47,-550
I,1545010578,1545011103,14,330
PAML,1545006420,1545011660,60,-56
SM,1545002552,1545012179,15,-908
LIUS,1545012401,1545013147,96,-169
MWEG,1545006333,1545013441,35,-60
HQ,1545004395,1545014006,45,-825
DYW,1545010554,1545014519,67,-243
FE,1545012223,1545015282,90,-817
B,1545013124,1545015547,34,-702
INXF,1545009933,1545015638,55,790
C,1545009345,1545016232,5,-124
HDEZ,1545010140,1545017229,66,427
SGU,1545017122,1545017825,51,-170
YZ,1545015008,1545017948,77,-515
MLX,1545016926,1545018611,87,344
K,1545014899,1545018663,20,586
DG,1545015598,1545019657,56,-183
EAO,1545017006,1545020482,23,-253
OA,1545014123,1545020536,20,-350
XCB,1545013449,1545020730,91,267
D,1545013521,1545021527,31,257
BYS,1545013825,1545021953,38,831
OJOQ,1545017428,1545022573,87,708
CSTK,1545017646,1545022763,11,906
PIJB,1545022904,1545023538,40,-127
SRZ,1545013796,1545023559,55,48
XU,1545019307,1545023883,56,-522
RPNP,1545023141,1545024077,93,-214
OT,1545014380,1545024089,32,-158
LMAU,1545016932,1545024629,34,106
VWS,1545019082,1545025311,96,886
FR,1545022000,1545026045,87,-165
SJ,1545023875,1545026494,85,175
VM,1545017118,1545026657,63,584
RD,1545020932,1545026753,71,834
B,1545020073,1545027557,97,-497
FZS,1545021425,1545027808,99,133
XGDO,1545023588,1545028509,62,-79
VGF,1545027116,1545029298,51,-203
EB,1545028862,1545030048,72,585
K,1545029262,1545030634,55,950
WQ,1545021627,1545030734,5,-470
U,1545027424,1545031719,62,493
JUWL,1545029890,1545032530,29,885
IK,1545029835,1545033200,18,-71
UR,1545033378,1545034078,32,-338
WR,1545034550,1545034764,19,-542
UXM,1545033952,1545034878,3,411
RJ,1545031229,1545035668,35,-26
XW,1545030084,1545036028,76,312
YX,1545028184,1545036514,78,731
XH,1545027110,1545036763,9,-627
ICYW,1545030820,1545036793,72,-326
RS,1545035282,1545037757,40,324
O,1545036062,1545038475,58,-203
VTT,1545028858,1545038702,68,-755
UT,1545035940,1545038985,66,112
FZI,1545037465,1545039838,32,756
J,1545039871,1545039987,83,445
AV,1545032914,1545040180,2,-601
WMYY,1545038291,1545040292,11,-943
V,1545038005,1545040536,39,457
NLMQ,1545037996,1545040801,95,517
ZC,1545032125,1545041527,16,791
WLZ,1545032945,1545042254,52,655
EPJ,1545038906,1545042961,85,770
LRH,1545033765,1545043461,49,490
WUM,1545041532,1545043544,63,-1
LP,1545035623,1545044143,59,507
JV,1545044476,1545045011,8,-954
GQ,1545039608,1545045263,12,530
YGF,1545038604,1545045444,28,100
WLV,1545042325,1545046283,50,569
EU,1545038625,1545046578,22,-115
CRAW,1545043984,1545047102,66,397
HJ,1545044548,1545047977,76,-484
LWCC,1545045348,1545048630,83,-804
WOY,1545041059,1545049564,72,-810
UAM,1545040709,1545049963,8,-699
YAV,1545046644,1545050167,80,-740
VZ,1545041830,1545050240,63,-185
ZN,1545042137,1545051181,42,861
YD,1545042801,1545052019,2,881
U,1545046912,1545052530,40,-813
WW,1545052223,1545052975,12,-383
KAY,1545051237,1545053574,51,-317
SQYM,1545048700,1545054096,63,969
IPQY,1545047968,1545054908,43,672
Y,1545050633,1545054938,79,-361
OXM,1545046335,1545055415,14,-90
AWT,1545046548,1545056057,71,-119
MUN,1545049820,1545057055,33,-618
BZ,1545053820,1545057762,8,-400
I,1545055162,1545058060,4,-191
KV,1545057523,1545058877,56,-313
IR,1545056035,1545058891,79,-974
